Country,Year,BMI,BMI_rank
United States,2000,27.5,10
Samoa,2000,30.5,2
"Micronesia, Fed. Sts.",2000,28.8,3
Tonga,2000,31.2,1
Kiribati,2000,28.7,4
Qatar,2000,27.6,9
Jordan,2000,27.8,6
"Egypt, Arab Rep.",2000,27.6,8
Saudi Arabia,2000,27.6,7
Kuwait,2000,28.3,5
United States,2001,27.7,8
Samoa,2001,30.6,2
"Micronesia, Fed. Sts.",2001,28.8,3
Tonga,2001,31.3,1
Qatar,2001,27.7,9
Kiribati,2001,28.8,4
Jordan,2001,27.9,6
"Egypt, Arab Rep.",2001,27.8,7
Saudi Arabia,2001,27.6,10
Kuwait,2001,28.4,5
United States,2002,27.8,9
Samoa,2002,30.7,2
"Micronesia, Fed. Sts.",2002,28.9,3
Tonga,2002,31.4,1
Qatar,2002,27.8,8
Kiribati,2002,28.9,4
Jordan,2002,28,6
"Egypt, Arab Rep.",2002,27.9,7
Saudi Arabia,2002,27.6,10
Kuwait,2002,28.4,5
United States,2003,27.9,8
Samoa,2003,30.8,2
"Micronesia, Fed. Sts.",2003,28.9,4
Tonga,2003,31.4,1
Qatar,2003,27.9,9
Jordan,2003,28,6
Kiribati,2003,29,3
"Egypt, Arab Rep.",2003,28,7
Saudi Arabia,2003,27.7,10
Kuwait,2003,28.5,5
United States,2004,28,9
Belize,2004,27.8,10
Samoa,2004,30.9,2
"Micronesia, Fed. Sts.",2004,29,4
Tonga,2004,31.5,1
Qatar,2004,28,8
Jordan,2004,28.1,7
Kiribati,2004,29.1,3
"Egypt, Arab Rep.",2004,28.1,6
Kuwait,2004,28.6,5
United States,2005,28.1,8
Belize,2005,27.9,10
Samoa,2005,31,2
"Micronesia, Fed. Sts.",2005,29,4
Tonga,2005,31.6,1
Qatar,2005,28,9
Kiribati,2005,29.2,3
Jordan,2005,28.2,7
"Egypt, Arab Rep.",2005,28.2,6
Kuwait,2005,28.7,5
St. Lucia,2006,28,10
United States,2006,28.2,8
Samoa,2006,31.1,2
Tonga,2006,31.6,1
"Micronesia, Fed. Sts.",2006,29.1,4
Qatar,2006,28.1,9
Kiribati,2006,29.3,3
Jordan,2006,28.3,6
"Egypt, Arab Rep.",2006,28.3,7
Kuwait,2006,28.7,5
St. Lucia,2007,28.2,9
United States,2007,28.3,7
Samoa,2007,31.2,2
Tonga,2007,31.7,1
"Micronesia, Fed. Sts.",2007,29.1,4
Qatar,2007,28.2,10
Jordan,2007,28.3,8
Kiribati,2007,29.3,3
"Egypt, Arab Rep.",2007,28.4,6
Kuwait,2007,28.8,5
St. Lucia,2008,28.4,7
United States,2008,28.4,8
Samoa,2008,31.3,2
"Micronesia, Fed. Sts.",2008,29.2,4
Qatar,2008,28.3,10
Tonga,2008,31.7,1
Jordan,2008,28.4,9
Kiribati,2008,29.4,3
"Egypt, Arab Rep.",2008,28.6,6
Kuwait,2008,28.9,5
St. Lucia,2009,28.6,7
United States,2009,28.4,9
Samoa,2009,31.4,2
"Micronesia, Fed. Sts.",2009,29.3,4
Qatar,2009,28.4,10
Tonga,2009,31.8,1
Jordan,2009,28.5,8
Kiribati,2009,29.5,3
"Egypt, Arab Rep.",2009,28.7,6
Kuwait,2009,29,5
St. Lucia,2010,28.7,7
United States,2010,28.5,10
Samoa,2010,31.5,2
"Micronesia, Fed. Sts.",2010,29.3,4
Tonga,2010,31.8,1
Qatar,2010,28.5,8
Kiribati,2010,29.6,3
Jordan,2010,28.5,9
"Egypt, Arab Rep.",2010,28.8,6
Kuwait,2010,29,5
St. Lucia,2011,28.9,6
United States,2011,28.6,8
Samoa,2011,31.6,2
"Micronesia, Fed. Sts.",2011,29.4,4
Qatar,2011,28.6,10
Tonga,2011,31.9,1
Kiribati,2011,29.7,3
Jordan,2011,28.6,9
"Egypt, Arab Rep.",2011,28.9,7
Kuwait,2011,29.1,5
St. Lucia,2012,29.1,6
United States,2012,28.6,10
"Micronesia, Fed. Sts.",2012,29.4,4
Samoa,2012,31.7,2
Qatar,2012,28.7,9
Kiribati,2012,29.7,3
Jordan,2012,28.7,8
Tonga,2012,31.9,1
"Egypt, Arab Rep.",2012,29.1,7
Kuwait,2012,29.2,5
St. Lucia,2013,29.4,5
Belize,2013,28.7,10
Samoa,2013,31.8,2
"Micronesia, Fed. Sts.",2013,29.5,4
Qatar,2013,28.8,8
Kiribati,2013,29.8,3
Jordan,2013,28.8,9
Tonga,2013,32,1
"Egypt, Arab Rep.",2013,29.2,7
Kuwait,2013,29.3,6
St. Lucia,2014,29.6,4
United States,2014,28.8,10
Belize,2014,28.8,9
Samoa,2014,32,2
"Micronesia, Fed. Sts.",2014,29.6,5
Qatar,2014,29,8
Kiribati,2014,29.9,3
Tonga,2014,32.1,1
"Egypt, Arab Rep.",2014,29.3,7
Kuwait,2014,29.4,6
St. Lucia,2015,29.8,4
Belize,2015,28.9,10
Samoa,2015,32.1,1
"Micronesia, Fed. Sts.",2015,29.6,5
Qatar,2015,29.1,8
Kiribati,2015,30,3
Jordan,2015,28.9,9
Tonga,2015,32.1,2
"Egypt, Arab Rep.",2015,29.5,7
Kuwait,2015,29.5,6
